project_name,address,city,zip,latitude,longitude,total_units,affordable_units,family_units_estimate,status,expected_year,source
New Meadows,4353 N Hunt Street,Portland,97203,45.58536,-122.71208,15.0,14.0,,in_service,2018.0,OAHI (data.oregon.gov p9yn-ftai)
Endelea Court,5513 NE 27TH AVE,Portland,97211,45.56285,-122.63813,6.0,6.0,6.0,in_service,1998.0,OAHI (data.oregon.gov p9yn-ftai)
Hazelwood Station,14719 E BURNSIDE ST,Portland,97233,45.52239,-122.51152,60.0,60.0,42.0,in_service,2004.0,OAHI (data.oregon.gov p9yn-ftai)
1230 SE IVON ST,1230 SE IVON ST,Portland,97202,45.50417,-122.65304,2.0,2.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
LA HACIENDA,7906 SE 72ND AVE,Portland,97206,45.46606,-122.58891,7.0,7.0,,in_service,1970.0,OAHI (data.oregon.gov p9yn-ftai)
Lafayette Court Apartments,8714 SE Lafayette Street,Portland,97266,45.49645,-122.57254,32.0,7.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Amanda Court,4537 & 4541 SE 122nd Ave,Portland,97236,45.48891,-122.53775,38.0,38.0,13.0,in_service,2023.0,OAHI (data.oregon.gov p9yn-ftai)
72 Foster,5005 SE 72nd Avenue,Portland,97206,45.4864,-122.58915,101.0,101.0,21.0,in_service,2019.0,OAHI (data.oregon.gov p9yn-ftai)
ARBOR GLEN,2609 SE 145TH AVE,Portland,97236,45.50254,-122.51383,97.0,97.0,93.0,in_service,2009.0,OAHI (data.oregon.gov p9yn-ftai)
AVENUE PLAZA,5025 NE 8TH AVE,Portland,97211,45.55971,-122.65751,22.0,22.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Nawikka Court Apartments,5110 SE 76th Avenue,Portland,97206,45.48586,-122.58534,16.0,15.0,,in_service,1988.0,OAHI (data.oregon.gov p9yn-ftai)
WOODLAND HEIGHTS RETIREMENT COMMUNITY,11625 SE BOISE ST,Portland,97266,45.4921,-122.54242,58.0,58.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
PARK 132,13130 SE POWELL BLVD,Portland,97236,45.49699,-122.52796,20.0,20.0,,in_service,1971.0,OAHI (data.oregon.gov p9yn-ftai)
Starlight fka CCC Westwind Apartments,323-327 NW 6th Avenue,Portland,97209,45.52569,-122.67652,100.0,100.0,,in_service,2022.0,OAHI (data.oregon.gov p9yn-ftai)
Mamook Tokatee fka Going 42,4610 NE 42nd Avenue,Portland,97218,45.55684,-122.6204,56.0,56.0,17.0,in_service,2021.0,OAHI (data.oregon.gov p9yn-ftai)
KILLINGSWORTH COURT,606 NE KILLINGSWORTH CT,Portland,97211,45.56228,-122.65933,6.0,6.0,,in_service,2005.0,OAHI (data.oregon.gov p9yn-ftai)
29 NE 148TH AVE,29 NE 148TH AVE,Portland,97230,45.52292,-122.51066,12.0,12.0,,in_service,2004.0,OAHI (data.oregon.gov p9yn-ftai)
Kentonwood Dimensions,1603 N Willis Blvd,Portland,97217,45.58382,-122.6835,44.0,44.0,,in_development,2024.0,OAHI (data.oregon.gov p9yn-ftai)
Clinton Ridge Apartments,2730 SE 92nd Avenue,Portland,97266,45.5018,-122.56808,29.0,28.0,1.0,in_service,2003.0,OAHI (data.oregon.gov p9yn-ftai)
Ainsworth Court,1515 N Ainsworth,Portland,97217,45.56631,-122.68335,88.0,88.0,24.0,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Beyer Court,9305 SE Harold Street,Portland,97266,45.48292,-122.56769,14.0,14.0,14.0,in_service,,OAHI (data.oregon.gov p9yn-ftai)
"Lawrence, the fka 148th Apartments",208 SE 148th Ave,Portland,,45.52092,-122.51024,96.0,96.0,80.0,in_service,2022.0,OAHI (data.oregon.gov p9yn-ftai)
Hayu Tilixam,5827 NE Prescott,Portland,97218,45.55548,-122.60267,50.0,50.0,20.0,in_service,2022.0,OAHI (data.oregon.gov p9yn-ftai)
CORA PARK APTS,4207 SE 37TH AVE,Portland,97202,45.49226,-122.62462,10.0,10.0,10.0,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Lincoln Woods,2333 SE 130th Avenue,Portland,97233,45.50486,-122.53038,70.0,70.0,52.0,in_service,2006.0,OAHI (data.oregon.gov p9yn-ftai)
ROCKWOOD STATION,19100 E BURNSIDE ST,Portland,97233,45.51858,-122.46641,195.0,195.0,117.0,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Twelfth Avenue Terrace,1529 SW 12th Avenue,Portland,97201,45.51488,-122.68721,119.0,119.0,,in_service,1994.0,OAHI (data.oregon.gov p9yn-ftai)
Hawthorne East,1420 SE 16th,Portland,97214,45.51236,-122.6496,71.0,70.0,,in_service,2016.0,OAHI (data.oregon.gov p9yn-ftai)
Renaissance Commons fka REACH Argyle,2133 N ARGYLE ST,Portland,97217,45.58454,-122.6876,189.0,189.0,65.0,in_service,2020.0,OAHI (data.oregon.gov p9yn-ftai)
LEXINGTON COURT,7860 SE 72ND AVE,Portland,97206,45.46652,-122.58934,19.0,19.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
MULTNOMAH MANOR,9110 NE HASSALO ST,Portland,97220,45.530460254779,-122.569136450093,53.0,53.0,18.0,in_service,1965.0,Metro RLIS Affordable Housing
PLAZA TOWNHOMES,5802 N MICHIGAN AVE,Portland,97217,45.564808808666,-122.676448552042,68.0,0.0,,in_service,1974.0,Metro RLIS Affordable Housing
UNTHANK PLAZA APARTMENTS,2500 N WILLIAMS AVE,Portland,97227,45.5404340989969,-122.665390542321,80.0,80.0,,in_service,1978.0,Metro RLIS Affordable Housing
AINSWORTH COURT,1515 N AINSWORTH ST,Portland,97217,45.5667967557994,-122.68333252983,88.0,88.0,,in_service,1943.0,Metro RLIS Affordable Housing
JAMES HAWTHORNE APARTMENTS,1510 SW 13TH AVE,Portland,97201,45.5152282139426,-122.687925612252,48.0,48.0,,in_service,1908.0,Metro RLIS Affordable Housing
ASH CREEK COMMONS,11230 SW 62ND AVE,Portland,97219,45.4439218652106,-122.741029741202,21.0,21.0,21.0,in_service,2004.0,Metro RLIS Affordable Housing
HELEN M. SWINDELLS,10 NW BROADWAY,Portland,97209,45.5233186931229,-122.677101196445,105.0,105.0,,in_service,1913.0,Metro RLIS Affordable Housing
